"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"06079","0","10","70","0","2024","4","",11872,124362,122285,119057,1962595845,77891280,2292619,1238,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",409,3.6,1441,1.2,339,0.3,509,0.4,-24585848,-1.2,-8271090,-9.6,-101154,-4.2,-24,-1.9
"06079","1","10","71","0","2024","4","",36,613,605,606,12469732,0,0,1578,"",0.61,0.26,0.26,0.26,0.26,0.00,0.00,1.01,"",0,0.0,30,5.1,19,3.2,20,3.4,281311,2.3,0,0.0,0,0.0,-25,-1.6
"06079","1","102","72","0","2024","4","",36,613,605,606,12469732,0,0,1578,"",0.61,0.26,0.26,0.27,0.26,0.00,0.00,1.01,"",0,0.0,30,5.1,19,3.2,20,3.4,281311,2.3,0,0.0,0,0.0,-25,-1.6
"06079","1","1021","73","0","2024","4","",20,371,362,367,6681576,0,0,1402,"",0.67,0.70,0.69,0.72,0.89,0.00,0.00,1.27,"",0,0.0,18,5.1,9,2.5,11,3.1,149891,2.3,0,0.0,0,0.0,-17,-1.2
"06079","1","1025","73","0","2024","4","",1,35,33,33,1170963,0,0,2675,"",0.71,0.10,0.09,0.10,0.16,0.00,0.00,1.64,"",0,0.0,4,12.9,3,10.0,0,0.0,206912,21.5,0,0.0,0,0.0,308,13.0
"06079","1","1026","73","0","2024","4","",1,15,14,13,145564,0,0,800,"",0.73,0.38,0.38,0.36,0.29,0.00,0.00,0.78,"",0,0.0,1,7.1,0,0.0,-1,-7.1,11808,8.8,0,0.0,0,0.0,65,8.8
"06079","1","1028","73","0","2024","4","",14,192,196,193,4471629,0,0,1776,"",0.59,0.14,0.15,0.15,0.15,0.00,0.00,1.02,"",0,0.0,7,3.8,7,3.7,10,5.5,-87300,-1.9,0,0.0,0,0.0,-113,-6.0
"06079","1","48-49","74","0","2024","4","",20,371,362,367,6681576,0,0,1402,"",0.69,0.75,0.75,0.78,0.97,0.00,0.00,1.27,"",0,0.0,18,5.1,9,2.5,11,3.1,149891,2.3,0,0.0,0,0.0,-17,-1.2
"06079","1","491","75","0","2024","4","",20,371,362,367,6681576,0,0,1402,"",0.70,0.77,0.77,0.79,1.02,0.00,0.00,1.31,"",0,0.0,18,5.1,9,2.5,11,3.1,149891,2.3,0,0.0,0,0.0,-17,-1.2
"06079","1","4911","76","0","2024","4","",20,371,362,367,6681576,0,0,1402,"",0.70,0.77,0.77,0.79,1.02,0.00,0.00,1.31,"",0,0.0,18,5.1,9,2.5,11,3.1,149891,2.3,0,0.0,0,0.0,-17,-1.2
